date	close
1-May-70	7.5000000065
1-May-71	7.491935231
1-May-72	7.5944683739
1-May-73	7.7420385621
1-May-74	8.1016032272
1-May-75	8.3758919457
1-May-76	8.9604127281
1-May-77	8.7385761713
1-May-78	8.1928403484
1-May-79	8.1257909464
1-May-80	7.8629447011
1-May-81	8.6585228171
1-May-82	9.4551319335
1-May-83	10.098898244
1-May-84	11.3625833327
1-May-85	12.3687499996
1-May-86	12.6108333333
1-May-87	12.9615
1-May-88	13.9170833333
1-May-89	16.2255
1-May-90	17.5035
1-May-91	22.7424333333
1-May-92	25.9180833333
1-May-93	30.4932916667
1-May-94	31.3737425
1-May-95	32.4270766667
1-May-96	35.4331733333
1-May-97	36.3132858333
1-May-98	41.259365
1-May-99	43.0554283333
1-May-00	44.941605
1-May-01	47.1864141667
1-May-02	48.6103191667
1-May-03	46.5832841667
1-May-04	45.3164666667
1-May-05	44.099975
1-May-06	45.3070083333
1-May-07	41.3485333333
1-May-08	43.5051833333
1-May-09	48.4052666667
1-May-10	45.7258121212
1-May-11	46.6704666667
1-May-12	53.4372333333
1-May-13	58.5978454167
1-May-14	61.0295144608
1-May-15	64.1519444633
1-May-16	67.1953128074
